idCliente,idServidor,velocidad,distancia
0,3,900,2
1,3,300,8
2,3,900,10
4,15,600,10
5,15,900,8
6,15,600,4
7,15,600,6
8,15,900,2
9,15,300,4
10,15,300,8
11,15,300,3
12,15,600,9
13,15,900,5
14,15,600,6
16,17,900,6
18,28,900,5
19,28,300,6
20,28,900,1
21,28,900,9
22,28,900,3
23,28,900,3
24,28,900,5
25,28,300,2
26,28,600,5
27,28,300,3
30,39,300,3
31,39,600,4
32,39,300,10
33,39,900,4
34,39,300,3
35,39,600,5
36,39,300,4
37,39,300,1
38,39,300,10
40,42,900,2
41,42,300,4
43,54,600,7
44,54,600,2
45,54,600,1
46,54,900,9
47,54,600,7
48,54,900,10
49,54,600,8
50,54,600,9
51,54,900,4
52,54,600,7
53,54,900,5
55,69,600,6
56,69,300,9
57,69,300,10
58,69,300,2
59,69,900,7
60,69,900,1
61,69,600,2
62,69,600,3
63,69,900,8
64,69,900,2
65,69,300,2
66,69,300,10
67,69,900,8
68,69,900,10
70,71,300,2
72,95,600,6
73,95,300,6
74,95,300,5
75,95,600,5
76,95,600,10
77,95,600,10
78,95,300,5
79,95,300,4
80,95,600,10
81,95,900,10
82,95,600,4
83,95,900,1
84,95,300,1
85,95,900,7
86,95,300,8
87,95,600,6
88,95,300,2
89,95,300,7
90,95,900,4
91,95,600,1
92,95,900,9
93,95,600,9
94,95,600,8
96,97,600,3
98,108,300,5
99,108,900,5
100,108,300,6
101,108,900,10
102,108,600,5
103,108,600,1
104,108,600,2
105,108,300,6
106,108,900,10
107,108,900,7
110,114,600,7
111,114,300,3
112,114,600,2
113,114,600,7
115,126,600,8
116,126,900,3
117,126,600,4
118,126,300,2
119,126,600,10
120,126,600,4
121,126,600,7
122,126,900,5
123,126,900,5
124,126,600,2
125,126,300,2
128,130,600,5
129,130,900,10
131,135,300,10
132,135,900,6
133,135,600,6
134,135,300,1
136,137,300,9
138,142,900,10
139,142,600,2
140,142,300,2
141,142,900,6
143,147,600,8
144,147,300,3
145,147,900,10
146,147,600,3
148,149,900,8
150,156,900,2
151,156,300,7
152,156,600,10
153,156,300,4
154,156,900,1
155,156,300,4
158,160,900,7
159,160,300,7
161,167,300,1
162,167,300,9
163,167,600,8
164,167,600,8
165,167,900,2
166,167,600,9
168,169,600,4
173,177,600,5
174,177,900,4
175,177,900,5
176,177,600,1
178,179,300,7
180,187,600,8
181,187,600,6
182,187,900,3
183,187,300,4
184,187,900,8
185,187,900,7
186,187,600,5
188,194,600,7
189,194,600,10
190,194,300,5
191,194,900,5
192,194,600,7
193,194,300,4
196,203,300,5
197,203,300,2
198,203,600,7
199,203,300,5
200,203,300,3
201,203,600,8
202,203,600,2
204,207,600,6
205,207,900,3
206,207,600,5
208,216,300,4
209,216,600,5
210,216,900,9
211,216,900,1
212,216,600,5
213,216,600,6
214,216,600,5
215,216,600,8
217,220,600,3
218,220,600,5
219,220,600,7
221,228,300,2
222,228,300,4
223,228,900,4
224,228,900,7
225,228,900,6
226,228,600,4
227,228,300,3
229,230,300,9
231,236,300,10
232,236,300,10
233,236,900,4
234,236,900,2
235,236,300,2
237,239,900,7
238,239,900,10
241,245,900,6
242,245,900,5
243,245,900,1
244,245,300,7
246,247,900,10
248,262,300,10
249,262,300,7
250,262,900,7
251,262,300,4
252,262,600,3
253,262,600,7
254,262,900,3
255,262,600,8
256,262,300,5
257,262,900,1
258,262,600,5
259,262,600,9
260,262,600,10
261,262,900,5
263,264,300,6
267,276,600,4
268,276,600,8
